,ram,battery_power,px_width,px_height,mobile_wt,int_memory,talk_time
count,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
mean,2124.213,1238.5185,1251.5155,645.108,140.249,32.0465,11.011
std,1084.7320436099492,439.4182060835312,432.19944694633784,443.7808108064387,35.399654896388334,18.145714955206863,5.463955197766686
min,256.0,501.0,500.0,0.0,80.0,2.0,2.0
25%,1207.5,851.75,874.75,282.75,109.0,16.0,6.0
50%,2146.5,1226.0,1247.0,564.0,141.0,32.0,11.0
75%,3064.5,1615.25,1633.0,947.25,170.0,48.0,16.0
max,3998.0,1998.0,1998.0,1960.0,200.0,64.0,20.0
